Site;Zone;Zone.Abb;LAT;LONG;Habitat;FirstSurvey;FirstSurveyDate;Count;Total
3257;;;-4,191167;17,958154;Sangi village;Surv Apr-Jun 2016;6/5/16;1;0
3258;;;-4,190484;17,95819;Sangi village;Surv Apr-Jun 2016;6/5/16;1;0
3259;;;-4,190254;17,958171;Forest;Surv Apr-Jun 2016;6/5/16;1;0
3260;;;-4,19009;17,958065;Forest;Surv Apr-Jun 2016;6/5/16;1;0
3261;;;-4,189885;17,957899;Forest;Surv Apr-Jun 2016;6/5/16;1;0
3262;;;-4,189732;17,957813;Forest;Surv Apr-Jun 2016;6/5/16;1;1
3263;;;-4,189751;17,957971;;Surv Apr-Jun 2016;6/5/16;1;0
3264;;;-4,190438;17,958486;Pond forest/Village;Surv Apr-Jun 2016;6/5/16;1;0
3265;;;-4,134142;17,98759;Degradated forest;Surv Apr-Jun 2016;6/5/16;1;0
3266;;;-4,133953;17,987765;Degradated forest;Surv Apr-Jun 2016;6/5/16;1;0
3267;;;-4,13353;17,98789;Degradated forest;Surv Apr-Jun 2016;6/5/16;1;0
3268;;;-4,133249;17,988022;Degradated forest;Surv Apr-Jun 2016;6/5/16;1;0
3269;;;-4,132978;17,988214;Degradated forest;Surv Apr-Jun 2016;6/5/16;1;0
3270;;;-4,132563;17,988242;Degradated forest;Surv Apr-Jun 2016;6/5/16;1;0
3271;;;-4,134518;17,987885;;Surv Apr-Jun 2016;6/5/16;1;0
3272;;;-4,134839;17,988233;;Surv Apr-Jun 2016;6/5/16;1;0
3273;;;-4,135255;17,988403;;Surv Apr-Jun 2016;6/5/16;1;0
3274;;;-4,135656;17,988588;;Surv Apr-Jun 2016;6/5/16;1;0
3275;;;-4,136615;17,988771;;Surv Apr-Jun 2016;6/5/16;1;0
3276;;;-4,13759;17,988744;;Surv Apr-Jun 2016;6/5/16;1;0
3277;;;-4,138531;17,988936;;Surv Apr-Jun 2016;6/5/16;1;0
3278;;;-4,139392;17,989079;;Surv Apr-Jun 2016;6/5/16;1;0
3279;;;-4,140365;17,988687;;Surv Apr-Jun 2016;6/5/16;1;0
3280;;;-4,141313;17,988552;;Surv Apr-Jun 2016;6/5/16;1;0
